Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Arab World,ARB,,,,,,,,,,,857888277,825281449,934118374,1152147333,1210878225,1293193680,1699850810,1756072404,,
East Asia & Pacific (all income levels),EAS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (developing only),EAP,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,1.04347E+11,1.14772E+11,1.23888E+11,1.18374E+11,1.3708E+11,1.73566E+11,1.81604E+11,1.98487E+11,2.21252E+11,2.52199E+11,2.81255E+11,2.81156E+11,2.7442E+11,3.12349E+11,3.74633E+11,4.0522E+11,4.37316E+11,4.44631E+11,4.66068E+11,3.92305E+11
Europe & Central Asia (all income levels),ECS,,,,,,,2.71854E+11,2.98552E+11,3.2931E+11,3.6569E+11,4.06045E+11,4.01807E+11,4.04948E+11,4.44918E+11,5.26431E+11,5.79076E+11,6.5449E+11,6.28946E+11,6.71034E+11,5.66723E+11
Europe & Central Asia (developing only),ECA,,,,,,,,,4021437352,4708537866,6791867805,5764308597,7210974698,9050912891,9792195073,7912309844,10033622319,12597017898,16693917806,
European Union,EUU,,,1.69397E+11,1.63087E+11,1.90357E+11,2.42085E+11,2.56771E+11,2.83803E+11,3.12359E+11,3.45908E+11,3.85186E+11,3.79761E+11,3.78275E+11,4.13614E+11,4.90917E+11,5.43724E+11,6.1466E+11,5.81643E+11,6.1298E+11,5.15167E+11
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,223428904,112457433,96471032,190701429,730682802,778389329,,,,
High income,HIC,,,,,,,6.57069E+11,,7.47464E+11,8.25481E+11,9.62182E+11,8.6286E+11,8.52947E+11,9.27036E+11,1.09173E+12,1.18452E+12,1.34223E+12,1.31755E+12,1.38008E+12,
High income: nonOECD,NOC,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,3.35772E+11,3.64203E+11,3.89819E+11,3.91927E+11,4.49601E+11,5.44011E+11,5.61257E+11,6.20289E+11,6.49605E+11,7.16598E+11,8.20223E+11,7.46551E+11,7.32044E+11,7.89844E+11,9.24259E+11,1.00176E+12,1.11894E+12,1.11305E+12,1.16405E+12,9.35834E+11
Latin America & Caribbean (all income levels),LCN,,,,,8281519730,11378225855,14331372427,18866222418,24280619714,31629146796,40613138732,38467043675,36986097556,36553615740,41103926731,44714995837,49194917389,48220827508,58140172978,
Latin America & Caribbean (developing only),LAC,,,,5948202151,8255114250,11325827249,14311821672,18843838322,24235761862,31579528674,40562627210,38371515170,36945585762,36536372616,41064245872,44660190009,49139905141,48147347995,58098740436,50433621878
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,,,,,,,,,,,1.87589E+11,1.78445E+11,2.04707E+11,2.5239E+11,3.25008E+11,3.88087E+11,4.64965E+11,5.40587E+11,,
Low income,LIC,,,,,,,,,,,97480918,,84067450,,89431398,,,,,
Lower middle income,LMC,,,,,,,,,,,,,32732374085,33545776083,38358970494,39776604618,41870278869,,,
Middle East & North Africa (all income levels),MEA,,,,,,,,,,6597187499,9863010493,8625370302,7441801663,7767190038,9549219952,7514057340,9150345579,6321441684,12642853519,
Middle East & North Africa (developing only),MNA,,,,,,,,,,,,,927042215,1046676114,1259444779,1284998384,1893138258,1570690578,,
Middle income,MIC,,,,,,,,,,,1.87492E+11,1.78388E+11,2.04623E+11,2.52323E+11,3.24919E+11,3.87993E+11,4.64613E+11,5.40286E+11,,
North America,NAC,1.00977E+11,1.11183E+11,1.1848E+11,1.19003E+11,1.31696E+11,1.46636E+11,1.60044E+11,1.84825E+11,1.93725E+11,2.04818E+11,2.29399E+11,2.0291E+11,1.85074E+11,1.83378E+11,1.98654E+11,2.16346E+11,2.46167E+11,2.58247E+11,2.60511E+11,1.66598E+11
Not classified,INX,,,,,,,,,,,,,,,,,,,,
OECD members,OED,3.36866E+11,3.65483E+11,3.93635E+11,3.96569E+11,4.56355E+11,5.53576E+11,5.73368E+11,6.36328E+11,6.69309E+11,7.41568E+11,8.52497E+11,7.7733E+11,7.61568E+11,8.19383E+11,9.57363E+11,1.03527E+12,1.1564E+12,1.14858E+12,1.20757E+12,9.74916E+11
South Asia,SAS,,,,,,,,,,,,,,,,3683594777,,,,
Sub-Saharan Africa (all income levels),SSF,,,,,,,,,,,1097352562,995535165,921129862,1210454587,2166858851,2721148082,3260270258,,,
Sub-Saharan Africa (developing only),SSA,,,,,,,,,,,1097352562,995535165,921129862,1210454587,2166858851,2721148082,3260270258,,,
Upper middle income,UMC,,,,,,,70960621648,84424650228,97927570997,1.19557E+11,1.52878E+11,1.49221E+11,1.7189E+11,2.18777E+11,2.8656E+11,3.48216E+11,4.22743E+11,4.94814E+11,5.3229E+11,4.94434E+11
World,WLD,,,,,,,,,,9.74917E+11,1.14977E+12,1.0413E+12,1.05765E+12,1.17943E+12,1.41674E+12,1.5726E+12,1.8072E+12,1.85813E+12,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,
