Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Arab World,ARB,2778849077,2111805591,3466824029,4324148897,3368355276,12971440.61,3299908634,6093922314,8218077454,1179810166,2797453573,4883102696,5789712793,13644494937,21329371503,46698218981,71039153557,82753243968,98352541607,80696080484,60954894886
East Asia & Pacific (all income levels),EAS,29926196873,27901361445,35592463062,51948484546,64702728449,81048961111,81171522890,94799423654,96109709321,1.20692E+11,1.63587E+11,1.09904E+11,1.07541E+11,1.03848E+11,1.84684E+11,1.70628E+11,2.64706E+11,3.72069E+11,3.73108E+11,2.51354E+11,3.7185E+11
East Asia & Pacific (developing only),EAP,10453866976,13339150283,21405718001,38908466581,45556512327,50791257657,58558405865,62594295781,57846497274,50491303346,45311306784,48928056537,59345255016,56960634255,70592914374,1.42498E+11,1.5159E+11,1.99014E+11,2.14236E+11,1.37528E+11,2.28053E+11
Euro area,EMU,69230833805,64369630355,71498861806,68704076443,66185603646,89322165177,98129700184,95750980601,1.85786E+11,4.61075E+11,7.26223E+11,3.62577E+11,3.66517E+11,3.06172E+11,1.99383E+11,4.40412E+11,4.25778E+11,8.17809E+11,3.94725E+11,4.18431E+11,3.29882E+11
Europe & Central Asia (all income levels),ECS,1.1374E+11,93803312971,94379327638,1.02044E+11,1.01663E+11,1.53473E+11,1.55823E+11,1.81822E+11,3.27137E+11,6.75552E+11,9.62702E+11,4.79314E+11,4.47949E+11,3.95281E+11,3.30628E+11,7.3346E+11,8.07918E+11,1.35172E+12,8.14717E+11,6.54835E+11,4.49465E+11
Europe & Central Asia (developing only),ECA,688010000,905900000,2642986608,3860205537,3204688620,5778320854,7002790000,13228736773,11950496695,10781525106,9798102630,14049285921,14293295114,24055013991,42597911556,51962387484,94337895718,1.36152E+11,1.622E+11,85927417520,86268320837
European Union,EUU,1.06496E+11,90573538368,91374826876,95568246451,92775134151,1.41925E+11,1.41914E+11,1.59264E+11,3.04389E+11,6.47471E+11,9.28205E+11,4.54795E+11,4.27523E+11,3.53189E+11,2.92522E+11,6.84857E+11,6.78381E+11,1.19205E+12,6.49739E+11,5.32433E+11,3.61834E+11
Heavily indebted poor countries (HIPC),HPC,548584513.8,470427402.1,372416641.1,1225677333,1179539663,1834484152,2019869116,3484719939,4295201375,5033293131,4337709849,4597613786,6247710083,7041376327,6839345593,8007256443,11809124892,17140372756,18583467303,17264785549,21880187048
High income,HIC,1.90801E+11,1.35314E+11,1.32429E+11,1.70614E+11,1.74343E+11,2.46243E+11,2.73394E+11,3.28356E+11,5.68077E+11,1.06103E+12,1.47418E+12,7.30007E+11,5.91212E+11,4.97394E+11,5.73944E+11,8.94755E+11,1.20445E+12,1.81179E+12,1.27502E+12,9.41826E+11,8.22313E+11
High income: nonOECD,NOC,9278510292,8067357887,4604718161,8541738442,12056242726,13282793970,16673468356,26087371107,34584305086,54173458835,92939473804,53099566286,21883730554,34854638027,83902549017,97488213551,1.49823E+11,1.87944E+11,1.73462E+11,1.56256E+11,1.69822E+11
